,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Florida,Florida,GPE,-0.01471035,0.46823664,en,486.00000000,,0,,,,,,
Atlantic,Atlantic,LOC,0.05739076,0.47149218,en,327.10000000,,0,,,,,,
Jamaica,Jamaica,GPE,-0.04645896,0.61257959,en,294.90000000,,0,,,,,,
Philippines,Philippines,GPE,-0.03640911,0.43500470,en,273.60000000,,0,,,,,,
Caribbean,Caribbean,LOC,-0.03988369,0.60807936,en,234.30000000,,0,,,,,,
Hong Kong,Hong Kong,GPE,0.14461502,0.50461442,en,125.90000000,,0,,,,,,
Australia,Australia,GPE,0.00165289,0.47628743,en,102.60000000,,0,,,,,,
U.S.,U.S.,GPE,-0.01823078,0.57619645,en,102.10000000,,0,,,,,,
China,China,GPE,0.09732931,0.43684178,en,101.20000000,,0,,,,,,
Cuba,Cuba,GPE,-0.00492473,0.45331362,en,97.60000000,,0,,,,,,
Vietnam,Vietnam,GPE,-0.02613227,0.38501844,en,96.70000000,,0,,,,,,
Myanmar,Myanmar,GPE,-0.06014687,0.43081037,en,93.60000000,,0,,,,,,
Taiwan,Taiwan,GPE,0.02742296,0.45248843,en,91.90000000,,0,,,,,,
US,US,GPE,-0.02566086,0.43394075,en,83.60000000,,0,,,,,,
Mexico,Mexico,GPE,-0.00981384,0.42734201,en,81.90000000,,0,,,,,,
the Gulf of Mexico,the Gulf of Mexico,LOC,0.00726686,0.45397613,en,71.90000000,,0,,,,,,
the Atlantic Ocean,the Atlantic Ocean,LOC,0.01123093,0.52759362,en,51.50000000,,0,,,,,,
Fla.,Fla.,GPE,-0.02434949,0.43111845,en,51.30000000,,0,,,,,,
Texas,Texas,GPE,0.01826882,0.39649639,en,51.00000000,,0,,,,,,
North Carolina,North Carolina,GPE,-0.08340129,0.56705644,en,47.80000000,,0,,,,,,
Hurricane Milton,Hurricane Milton,GPE,-0.01505221,0.47601811,en,47.30000000,,0,,,,,,
the United States,the United States,GPE,0.12829452,0.64146632,en,36.30000000,,0,,,,,,
Mayotte,Mayotte,GPE,-0.09069156,0.37630659,en,35.70000000,,0,,,,,,
Madagascar,Madagascar,GPE,-0.08358663,0.16717325,en,32.90000000,,0,,,,,,
Haiti,Haiti,GPE,-0.09890561,0.57670092,en,32.10000000,,0,,,,,,
Queensland,Queensland,GPE,0.08430352,0.51388377,en,31.70000000,,0,,,,,,
East Coast,East Coast,LOC,-0.03138549,0.58052191,en,30.80000000,,0,,,,,,
Indian Ocean,Indian Ocean,LOC,-0.03353659,0.27001065,en,28.70000000,,0,,,,,,
the East Coast,the East Coast,LOC,-0.07189914,0.62994048,en,27.10000000,,0,,,,,,
Bahamas,Bahamas,GPE,-0.02511914,0.43590107,en,22.80000000,,0,,,,,,
India,India,GPE,-0.10436993,0.22019437,en,22.00000000,,0,,,,,,
Tampa Bay,Tampa Bay,LOC,0.05483323,0.58501082,en,22.00000000,,0,,,,,,
Pacific,Pacific,LOC,0.07412894,0.44878297,en,21.60000000,,0,,,,,,
Tampa,Tampa,GPE,-0.22502380,0.58791970,en,21.40000000,,0,,,,,,
Gulf Coast,Gulf Coast,LOC,0.01034327,0.45534411,en,20.90000000,,0,,,,,,
California,California,GPE,0.05016652,0.34895147,en,20.70000000,,0,,,,,,
Typhoon Yagi,Typhoon Yagi,LOC,-0.01310892,0.59523810,en,20.30000000,,0,,,,,,
Puerto Rico,Puerto Rico,GPE,-0.15672804,0.66750600,en,19.90000000,,0,,,,,,
Laos,Laos,GPE,-0.02289858,0.28966804,en,19.90000000,,0,,,,,,
ORLANDO,ORLANDO,GPE,0.02560403,0.40163190,en,19.90000000,,0,,,,,,
Miami,Miami,GPE,-0.02316951,0.40820258,en,19.70000000,,0,,,,,,
Gulf,Gulf,LOC,0.00292850,0.33570560,en,19.10000000,,0,,,,,,
UK,UK,GPE,0.17623743,0.51428266,en,18.90000000,,0,,,,,,
Georgia,Georgia,GPE,0.02210488,0.47545230,en,18.60000000,,0,,,,,,
Southeast Asia,Southeast Asia,LOC,-0.08562096,0.55390705,en,17.80000000,,0,,,,,,
Coral Springs,Coral Springs,GPE,-0.18669251,0.30975452,en,17.20000000,,0,,,,,,
Africa,Africa,LOC,0.03460243,0.38955891,en,17.20000000,,0,,,,,,
Asia,Asia,LOC,-0.04873908,0.51425754,en,16.90000000,,0,,,,,,
United States,United States,GPE,-0.02361933,0.50713346,en,16.90000000,,0,,,,,,
Zelia,Zelia,GPE,-0.12262279,0.47298592,en,15.90000000,,0,,,,,,
South Florida,South Florida,GPE,-0.10443723,0.34848485,en,15.40000000,,0,,,,,,
America,America,GPE,0.16628247,0.59391775,en,15.40000000,,0,,,,,,
Orlando,Orlando,GPE,0.00609630,0.58514613,en,15.00000000,,0,,,,,,
Alaska,Alaska,GPE,0.05003350,1.08079562,en,15.00000000,,0,,,,,,
Northern Territory,Northern Territory,LOC,-0.09027778,0.52314815,en,14.40000000,,0,,,,,,
the Indian Ocean,the Indian Ocean,LOC,-0.02865884,0.58159202,en,14.30000000,,0,,,,,,
Barbados,Barbados,GPE,-0.10481221,0.31150235,en,14.20000000,,0,,,,,,
Mauritius,Mauritius,GPE,-0.08039568,0.50989209,en,13.90000000,,0,,,,,,
Tanzania,Tanzania,GPE,-0.11400290,0.43797678,en,13.40000000,,0,,,,,,
Southeast,Southeast,LOC,-0.01036932,0.56701389,en,13.20000000,,0,,,,,,
MANILA,MANILA,GPE,-0.07955776,0.37954971,en,13.00000000,,0,,,,,,
HONG KONG,HONG KONG,GPE,0.19948167,0.44884336,en,12.90000000,,0,,,,,,
the Caribbean Sea,the Caribbean Sea,LOC,-0.13247648,0.78897849,en,12.40000000,,0,,,,,,
Houston,Houston,GPE,0.08094385,0.55749701,en,12.40000000,,0,,,,,,
Indonesia,Indonesia,GPE,-0.04937485,0.40576497,en,12.30000000,,0,,,,,,
the Pacific Ocean,the Pacific Ocean,LOC,0.05407145,0.36839088,en,12.20000000,,0,,,,,,
Earth,Earth,LOC,0.04315077,0.72548435,en,12.20000000,,0,,,,,,
Sarasota,Sarasota,GPE,0.09284940,0.67901758,en,11.80000000,,0,,,,,,
Cebu,Cebu,LOC,-0.38841897,0.69690570,en,11.50000000,,0,,,,,,
Pacific Ocean,Pacific Ocean,LOC,0.04505195,0.52101283,en,11.40000000,,0,,,,,,
the Cayman Islands,the Cayman Islands,GPE,-0.02339181,0.25852827,en,11.40000000,,0,,,,,,
MIAMI,MIAMI,GPE,-0.03352785,0.58606334,en,11.10000000,,0,,,,,,
Guangdong,Guangdong,GPE,0.10909812,0.36784993,en,11.00000000,,0,,,,,,
South Carolina,South Carolina,GPE,-0.03314394,0.35113636,en,11.00000000,,0,,,,,,
the Dominican Republic,the Dominican Republic,GPE,-0.12234054,0.55591962,en,10.90000000,,0,,,,,,
the South Pacific,the South Pacific,LOC,0.14953271,0.74766355,en,10.70000000,,0,,,,,,
the National Oceanic,the National Oceanic,LOC,0.00239218,0.17181042,en,10.60000000,,0,,,,,,
Black River,Black River,LOC,-0.17590444,0.66368867,en,10.30000000,,0,,,,,,
Atlantic Ocean,Atlantic Ocean,LOC,0.03670900,0.52146465,en,10.20000000,,0,,,,,,
Vermont,Vermont,GPE,0.10519802,0.18722497,en,10.10000000,4063093-6,5242283,A,44.00034,-72.74983,NORTH-AMERICA,United States,ENA
Fort Lauderdale,Fort Lauderdale,GPE,-0.24500000,0.39500000,en,10.00000000,,0,,,,,,
Bermuda,Bermuda,LOC,-0.04581679,1.27313303,en,10.00000000,,0,,,,,,
Western Australia,Western Australia,LOC,0.02581703,0.29964994,en,9.90000000,,0,,,,,,
TAMPA,TAMPA,GPE,-0.11477655,0.63587389,en,9.90000000,,0,,,,,,
