,phrase,label,sentiment,subjectivity,language,count
Philippine victims of a 2021,Philippine victims of a 2021,MISC,,,en,7
Philippine victims of 2021 typhoon seek compensation from Shell,Philippine victims of 2021 typhoon seek compensation from Shell,MISC,,,en,4
Why has the Atlantic hurricane season gone 'remarkably' quiet,Why has the Atlantic hurricane season gone 'remarkably' quiet,MISC,,,en,2
speaking during Presi…,speaking during Presi…,MISC,,,en,1
Mexico rises above 60,Mexico rises above 60,MISC,,,en,1
Death toll from flooding,Death toll from flooding,MISC,,,en,1
Rescuers scrambled on Monday to r…,Rescuers scrambled on Monday to r…,MISC,,,en,1
turning streets into rivers,turning streets into rivers,MISC,,,en,1
Torrential rain battered several Mexican states over several days last week,Torrential rain battered several Mexican states over several days last week,MISC,,,en,1
Mexico has risen to 64 as authorities expand the search,Mexico has risen to 64 as authorities expand the search,MISC,,,en,1
The death toll from last week’s,The death toll from last week’s,MISC,,,en,1
Death toll from devastating Mexico flooding rises,Death toll from devastating Mexico flooding rises,MISC,,,en,1
Mexico after heavy rains and flooding hit five states last week,Mexico after heavy rains and flooding hit five states last week,MISC,,,en,1
When she returned she found not only da,When she returned she found not only da,MISC,,,en,1
At least 64 people have died,At least 64 people have died,MISC,,,en,1
The majority of the deaths have occurred in the states of Veracruz and Hidalgo,The majority of the deaths have occurred in the states of Veracruz and Hidalgo,MISC,,,en,1
with dozens still,with dozens still,MISC,,,en,1
prompting President,prompting President,MISC,,,en,1
The death toll from Mexico's torrential rains rose to 44 on Sunday as the fallout,The death toll from Mexico's torrential rains rose to 44 on Sunday as the fallout,MISC,,,en,1
Many residents face water and el…,Many residents face water and el…,MISC,,,en,1
Torrential rains have claimed,Torrential rains have claimed,MISC,,,en,1
"Authorities say some 100,000 homes across the region have been damaged by the torrential rains and flooding","Authorities say some 100,000 homes across the region have been damaged by the torrential rains and flooding",MISC,,,en,1
Super Typhoon Ragasa Crashes Through Doors of Luxury Hotel,Super Typhoon Ragasa Crashes Through Doors of Luxury Hotel,MISC,,,en,1
The country is hit by some 20 storms and typhoons a year,The country is hit by some 20 storms and typhoons a year,MISC,,,en,1
Heavy downpours,Heavy downpours,MISC,,,en,1
BANGKOK,BANGKOK,MISC,0.0,0.0,en,1
typhoon are seeking compensation from energy giant Shell for deaths and damage that they say were intensified by climate change partly resulting from the oil,typhoon are seeking compensation from energy giant Shell for deaths and damage that they say were intensified by climate change partly resulting from the oil,MISC,,,en,1
Shell says it is,Shell says it is,MISC,,,en,1
typhoon are seeking compensation from energy giant Shell for deaths and damage that they say were intensified by climate change partly resulting from the oil and gas company’s carbon emissions,typhoon are seeking compensation from energy giant Shell for deaths and damage that they say were intensified by climate change partly resulting from the oil and gas company’s carbon emissions,MISC,,,en,1
typhoon are seeking compensation from energy giant Shell for deaths and damage that they say were intensified by climate change partly resulting from the oil…,typhoon are seeking compensation from energy giant Shell for deaths and damage that they say were intensified by climate change partly resulting from the oil…,MISC,,,en,1
Remnants of a powerful typhoon swept into Western Alaskas Yukon-Kuskokwim Delta on Oct,Remnants of a powerful typhoon swept into Western Alaskas Yukon-Kuskokwim Delta on Oct,MISC,,,en,1
This article originally appeared on The Conversation,This article originally appeared on The Conversation,MISC,,,en,1
Its timing means recovery will be even more difficult than usual for these hard-hit communities,Its timing means recovery will be even more difficult than usual for these hard-hit communities,MISC,,,en,1
Why recovery will be tough for,Why recovery will be tough for,MISC,,,en,1
After the latest catastrophic storm hit Western,After the latest catastrophic storm hit Western,MISC,,,en,1
support us with a donation of any size,support us with a donation of any size,MISC,,,en,1
If you think our work is valuable,If you think our work is valuable,MISC,,,en,1
Truthout is a vital news source and a living history of political struggle,Truthout is a vital news source and a living history of political struggle,MISC,,,en,1
said a tribal leader from the village of Akiak,said a tribal leader from the village of Akiak,MISC,,,en,1
and it’s not going to be livable,and it’s not going to be livable,MISC,,,en,1
Thousands of residents of a Philippine island have fled their homes along the Pacific coast as weather experts warned of coastal flooding ahead of the approach of Tropical Storm Fengshen,Thousands of residents of a Philippine island have fled their homes along the Pacific coast as weather experts warned of coastal flooding ahead of the approach of Tropical Storm Fengshen,MISC,,,en,1
striking disaster-prone areas where millions live,striking disaster-prone areas where millions live,MISC,,,en,1
Mexico's president convenes governors as death toll from torrential rains rises to 44,Mexico's president convenes governors as death toll from torrential rains rises to 44,MISC,,,en,1
less than a week,less than a week,MISC,,,en,1
The storm has already caused death and destruction,The storm has already caused death and destruction,MISC,,,en,1
Local hurricane alert system with NHC cone tracking,Local hurricane alert system with NHC cone tracking,MISC,,,en,1
The post These Are the Emergency Alerts You Need to Enable on Your Phone appeared first on Reader's Digest,The post These Are the Emergency Alerts You Need to Enable on Your Phone appeared first on Reader's Digest,MISC,,,en,1
Luckily you can have emergency alerts sent right to your iPhone or Android,Luckily you can have emergency alerts sent right to your iPhone or Android,MISC,,,en,1
inclement weather is a danger to us all,inclement weather is a danger to us all,MISC,,,en,1
hurricane or bad storm,hurricane or bad storm,MISC,,,en,1
Tornado,Tornado,MISC,,,en,1
These Are the Emergency Alerts You Need to Enable on Your Phone,These Are the Emergency Alerts You Need to Enable on Your Phone,MISC,,,en,1
"Please check your
 connection","Please check your
 connection",MISC,,,en,1
"This may be due to a browser
 extension","This may be due to a browser
 extension",MISC,,,en,1
is expected to grow stron,is expected to grow stron,MISC,,,en,1
raising the death toll to at least 44 people,raising the death toll to at least 44 people,MISC,,,en,1
The system,The system,MISC,,,en,1
is getting ready for a dangerous week ahead,is getting ready for a dangerous week ahead,MISC,,,en,1
heading for South Carolina early next week,heading for South Carolina early next week,MISC,,,en,1
Tropical Storm Imelda strengthens,Tropical Storm Imelda strengthens,MISC,,,en,1
See which cities are most at risk right now,See which cities are most at risk right now,MISC,,,en,1
Tropical storm Imelda threatens,Tropical storm Imelda threatens,MISC,,,en,1
Super Typhoon Ragasa made landfall,Super Typhoon Ragasa made landfall,MISC,,,en,1
"both the Philippines and Taiwan NEED TO KNOW
<ul><li","both the Philippines and Taiwan NEED TO KNOW
<ul><li",MISC,,,en,1
"Skip to main content
Keep yourself and your loved ones safe with real-time emergency alerts delivered right to your phone
Whether its tornadoes","Skip to main content
Keep yourself and your loved ones safe with real-time emergency alerts delivered right to your phone
Whether its tornadoes",MISC,,,en,1
It's the peak of the Atlantic hurricane season but,It's the peak of the Atlantic hurricane season but,MISC,,,en,1
there are currently no tropical storms or hurricanes,there are currently no tropical storms or hurricanes,MISC,,,en,1
The last named tropical storm 'Fernand' weakened,The last named tropical storm 'Fernand' weakened,MISC,,,en,1
Two tropical storms have damaged more than,Two tropical storms have damaged more than,MISC,,,en,1
dozens more missing,dozens more missing,MISC,,,en,1
Death toll from Mexico flooding rises to 44,Death toll from Mexico flooding rises to 44,MISC,,,en,1
At this decades-old psych…,At this decades-old psych…,MISC,,,en,1
When a big storm hits,When a big storm hits,MISC,,,en,1
"Nearly 30,000 patient beds face the risk of significant or dangerous flooding","Nearly 30,000 patient beds face the risk of significant or dangerous flooding",MISC,,,en,1
Experts say Trump is making it worse,Experts say Trump is making it worse,MISC,,,en,1
At least 170 US hospitals,At least 170 US hospitals,MISC,,,en,1
The Spanish holiday islands of Ibiza and Formentera have reportedly been hit by widespread flooding,The Spanish holiday islands of Ibiza and Formentera have reportedly been hit by widespread flooding,MISC,,,en,1
as of 5.30pm local time on Tuesday,as of 5.30pm local time on Tuesday,MISC,,,en,1
with Ibiza airport recording,with Ibiza airport recording,MISC,,,en,1
Ibiza had 239mm of rain over the last 24 hours,Ibiza had 239mm of rain over the last 24 hours,MISC,,,en,1
Ibiza and Formentera hit by widespread flooding as red alert issued amid,Ibiza and Formentera hit by widespread flooding as red alert issued amid,MISC,,,en,1
"PM PDT by jerod
It's","PM PDT by jerod
It's",MISC,,,en,1
"BBC ^
 ","BBC ^
 ",MISC,,,en,1
And there are no storms predicted by the National Hu… Skip to comments,And there are no storms predicted by the National Hu… Skip to comments,MISC,,,en,1
the mid-Atlantic on 28 August,the mid-Atlantic on 28 August,MISC,,,en,1
typhoon are seeking compensation from energy giant Shell for deaths and damage that they say were intensified by climate change partly resulting,typhoon are seeking compensation from energy giant Shell for deaths and damage that they say were intensified by climate change partly resulting,MISC,,,en,1
