,phrase,label,sentiment,subjectivity,language,count
the National Hurricane Center,the National Hurricane Center,ORG,-0.033714317914393624,0.3967080028729049,en,66.09999999999994
Beryl,Beryl,ORG,-0.024380003301147184,0.4085898599763422,en,57.69999999999994
The National Hurricane Center,The National Hurricane Center,ORG,-0.0448997326203209,0.30438362867428626,en,28.899999999999984
AP,AP,ORG,-0.013309667086262827,0.8935842211374126,en,23.5
NOAA,NOAA,ORG,0.018989898989898987,0.4404425204425206,en,20.999999999999996
Erin,Erin,ORG,0.03911226930963772,0.328300296195033,en,19.0
Reuters,Reuters,ORG,0.06634518090310772,0.7439519322141273,en,16.400000000000002
Super Typhoon Ragasa,Super Typhoon Ragasa,ORG,0.21700181776868885,0.5238979777323335,en,16.300000000000004
NHC,NHC,ORG,0.06371753246753245,0.34902597402597396,en,15.400000000000004
National Hurricane Center,National Hurricane Center,ORG,-0.06216264204545453,0.40856810290404033,en,12.800000000000002
Shell,Shell,ORG,0.111011011011011,1.222922922922923,en,11.100000000000001
AccuWeather,AccuWeather,ORG,-0.019256756756756754,0.3618618618618618,en,11.100000000000001
Hurricane Beryl,Hurricane Beryl,ORG,-0.06732060943643511,0.47904106596767143,en,10.900000000000002
Milton,Milton,ORG,-0.05706640454346875,0.392442114460463,en,10.900000000000002
UN,UN,ORG,-0.16625816993464052,0.5520152505446622,en,10.200000000000001
NASA,NASA,ORG,0.07045454545454545,0.09318181818181817,en,10.000000000000002
MetMalaysia,MetMalaysia,ORG,0.04097916666666664,0.4774583333333332,en,10.000000000000002
Kristy,Kristy,ORG,0.05860805860805861,0.4102564102564102,en,9.100000000000001
Trump,Trump,ORG,-0.33061941251596433,0.8331736909323118,en,8.699999999999998
FEMA,FEMA,ORG,0.185882800608828,0.2766362252663622,en,7.300000000000001
CBS Interactive Inc. All,CBS Interactive Inc. All,ORG,0.0,0.0,en,6.5
the IAB Transparency &amp,the IAB Transparency &amp,ORG,-0.15625,0.41015625,en,6.4
BBC,BBC,ORG,-0.022030651340996153,0.5771072796934865,en,5.800000000000001
Atmospheric Administration,Atmospheric Administration,ORG,0.021539961013645213,0.30760233918128654,en,5.7
The Malaysian Meteorological Department,The Malaysian Meteorological Department,ORG,0.060303030303030275,0.40939393939393937,en,5.5
KUALA LUMPUR,KUALA LUMPUR,ORG,0.060303030303030275,0.40939393939393937,en,5.5
the National Hurricane Center (NHC,the National Hurricane Center (NHC,ORG,-0.028409090909090908,0.2484848484848485,en,5.5
Bloomberg,Bloomberg,ORG,0.09128787878787877,0.3090909090909091,en,5.5
CBS News,CBS News,ORG,0.4388888888888889,0.5054834054834054,en,5.5
Melissa,Melissa,ORG,0.019345238095238092,0.5066964285714286,en,4.8
Kalmaegi,Kalmaegi,ORG,-0.09042553191489362,0.3031914893617021,en,4.7
