,phrase,label,sentiment,subjectivity,language,count
Typhoon Kalmaegi,Typhoon Kalmaegi,PERSON,-0.12967929596080832,0.3895237703667321,en,95.2000000000001
Hurricane Milton,Hurricane Milton,PERSON,-0.07267175531400699,0.4911457332462165,en,82.60000000000015
Typhoon Ragasa,Typhoon Ragasa,PERSON,0.12379045646779215,0.5255281903313913,en,57.799999999999976
Typhoon Bavi,Typhoon Bavi,PERSON,0.18256414437921273,0.6397042835398999,en,51.10000000000002
Typhoon Doksuri,Typhoon Doksuri,PERSON,-0.15532496782496796,0.38770913770913795,en,25.899999999999988
Typhoon Fung-wong,Typhoon Fung-wong,PERSON,-0.0935482500849474,0.41756710839279665,en,21.799999999999994
Forecast Cone,Forecast Cone,PERSON,0.08451015004413075,0.4991762283024418,en,20.59999999999999
Donald Trump,Donald Trump,PERSON,-0.09920350767953508,0.45614622249896236,en,14.599999999999998
Cyclone Maila,Cyclone Maila,PERSON,0.03821548821548821,0.6942021844460868,en,12.299999999999997
Greg Biffle,Greg Biffle,PERSON,0.08512931034482758,0.4357040229885057,en,11.600000000000003
Lee Junho,Lee Junho,PERSON,-0.12479871175523355,0.4069243156199679,en,11.499999999999996
Joe Biden,Joe Biden,PERSON,0.07727613977613976,0.3395440895440895,en,11.100000000000001
Cyclone Alfred,Cyclone Alfred,PERSON,0.035436065506820213,0.631456920961638,en,10.6
El Nino,El Nino,PERSON,0.1665441176470588,0.5658905228758166,en,10.200000000000003
Kristi Noem,Kristi Noem,PERSON,0.17089971883786317,0.4227585129646986,en,9.7
Ferdinand Marcos Jr,Ferdinand Marcos Jr,PERSON,-0.08879490392648286,0.27725563909774426,en,9.500000000000002
Dan Gordon,Dan Gordon,PERSON,-0.2612293144208038,0.3593380614657211,en,9.399999999999999
Typhoon Wipha,Typhoon Wipha,PERSON,-0.06318681318681318,0.282967032967033,en,9.1
Cyclone Narelle,Cyclone Narelle,PERSON,-0.0737908496732026,0.4277777777777778,en,8.5
Typhoon Haikui,Typhoon Haikui,PERSON,0.03273809523809523,0.09788359788359789,en,8.4
Typhoon Krathon,Typhoon Krathon,PERSON,-0.07227833894500563,0.6914462081128748,en,8.4
Typhoon Lan,Typhoon Lan,PERSON,0.02373797498797499,0.19898478835978836,en,8.0
Typhoon Jangmi,Typhoon Jangmi,PERSON,0.06114718614718614,0.32251082251082247,en,7.700000000000001
Cyclone Koji,Cyclone Koji,PERSON,-0.06474567099567098,0.4349567099567099,en,7.700000000000001
Typhoon Saola,Typhoon Saola,PERSON,0.03799903799903798,0.24780543530543525,en,7.700000000000001
Ron DeSantis,Ron DeSantis,PERSON,0.18293650793650798,0.7699999999999999,en,7.5
Andrew Holness,Andrew Holness,PERSON,0.013769451269451269,0.6222870597870597,en,7.4
Typhoon Sinlaku,Typhoon Sinlaku,PERSON,-0.046792328042328045,0.35466269841269843,en,7.2
PETALING JAYA,PETALING JAYA,PERSON,-0.008450704225352119,0.6210974178403755,en,7.1000000000000005
Cyclone Hidaya,Cyclone Hidaya,PERSON,-0.1314285714285714,0.5019047619047619,en,7.000000000000001
Fernando Mendoza,Fernando Mendoza,PERSON,-0.049999999999999996,0.4556372549019607,en,6.800000000000001
Storm Lee,Storm Lee,PERSON,-0.24976325757575754,0.6917613636363635,en,6.4
Wyatt Earp,Wyatt Earp,PERSON,-0.3389830508474576,0.3389830508474576,en,5.9
Kim Min-ha,Kim Min-ha,PERSON,0.010449320794148372,0.2838732149076977,en,5.800000000000001
Storm Goretti,Storm Goretti,PERSON,-0.23272727272727278,0.4327272727272727,en,5.5
Storm Arthur,Storm Arthur,PERSON,0.03616352201257862,0.30188679245283023,en,5.3
Keir Starmer,Keir Starmer,PERSON,0.18635531135531136,0.2225274725274725,en,5.2
Cyclone Luana,Cyclone Luana,PERSON,-0.11159673659673659,0.6538461538461539,en,5.2
Taylor Swift,Taylor Swift,PERSON,0.02622377622377622,0.09615384615384615,en,5.2
Kang Tae Poong,Kang Tae Poong,PERSON,-0.04282407407407408,0.35345441595441596,en,5.2
Ayesha Curry,Ayesha Curry,PERSON,-0.6830065359477123,0.6928104575163397,en,5.1000000000000005
Cyclone Garance,Cyclone Garance,PERSON,0.026041666666666668,0.29687499999999994,en,4.800000000000001
