,summary,Hazard,Mitigation,Impacts,Causes,word
summaryOfAllWords,38081.031430179064,12711.233455785074,8430.013941472673,8254.996105418417,8684.787927506044,
WATCH,2.921159371540092,0.19054392467881479,-0.34157718796564185,-0.015432400949031741,-0.011876030855309428,WATCH
Huge,4.812370747223721,0.23351416790127033,-0.34019180003346994,-0.06887498777239423,-0.0427065754196437,Huge
watch huge,2.944365509780194,0.19450702353496452,-0.34948995273643885,-0.016189364950474402,-0.012774077718093949,watch huge
waves,12.247617071383834,0.12065352241943213,-0.09523908410884845,-0.10660659762142559,-0.00339557871792804,waves
huge waves,3.857291095201293,0.3049981222667608,-0.6195617537387481,-0.04506433866330514,-0.03232132102647344,huge waves
from,81.39918254694773,0.048401628692502335,-0.41449404802721224,0.14702405491017675,0.10096987227509464,from
waves from,3.8996261386104387,0.3086540434576434,-0.6304772920847982,-0.045719362275344365,-0.033361163095087555,waves from
Super,5.728553454331104,0.2540488619948977,0.007858666563067057,-0.1054523894929795,-0.4092598236423046,Super
from super,3.9372912410201524,0.3118304178487792,-0.6400895900316294,-0.04626939976803786,-0.03428976063058111,from super
Typhoon,27.0305577051147,0.17940659460240566,-0.07081147966815338,-0.27320329187054154,0.0059586237660257555,Typhoon
super typhoon,5.658377643868796,0.25725579955014233,-0.03874503714756028,-0.07914994067809861,-0.38591131546785395,super typhoon
Ragasa,6.731192126501242,0.22443358278734324,-0.03992864228980036,-0.23272694050563417,-0.14262187622094877,Ragasa
typhoon ragasa,6.731192126501242,0.22443358278734324,-0.03992864228980036,-0.23272694050563417,-0.14262187622094877,typhoon ragasa
lash,3.822209690386541,0.45370862475777995,-0.6104253137988206,-0.22823865086616937,-0.2267472358616398,lash
ragasa lash,3.1055948675277927,0.22000146698299985,-0.4028018862194828,-0.02061522328683175,-0.019123808282301976,ragasa lash
Taiwanese,3.134479425389735,0.22422546042127078,-0.4120597132283804,-0.02125797582420012,-0.020289130220385983,Taiwanese
lash taiwanese,3.134479425389735,0.22422546042127078,-0.4120597132283804,-0.02125797582420012,-0.020289130220385983,lash taiwanese
Island,4.301237922649593,0.33927811585671547,-0.728499475694713,-0.050082186761539214,-0.04351764177485453,Island
taiwanese island,3.199911442930801,0.23344797886154398,-0.4327197407776238,-0.02254977520433225,-0.022969266635479407,taiwanese island
island huge,2.944365509780194,0.19450702353496452,-0.34948995273643885,-0.016189364950474402,-0.012774077718093949,island huge
the,417.8690874625995,0.10325945487083629,-0.015787050464958874,-0.1039223347570016,-0.051490814300472205,the
ragasa the,3.7976326204166044,0.3004830792277542,-0.6039744834023429,-0.024426465145502074,-0.05130725752074233,ragasa the
world,8.485839718415322,0.12415441043217354,-0.1350799632291475,-0.14945915752985645,0.059331036121041666,world
the world,4.631417802103037,0.3121967858285873,-0.8024596474177338,-0.19304609185858462,0.15370883366734264,the world
most,13.653786412423335,0.2739471504615438,-0.08457612590649291,-0.18118499455290593,-0.2549128573863601,most
world most,4.209880389837915,0.3342497787294188,-0.7070308417648271,-0.01623033900921752,-0.07641988362065336,world most
powerful,30.368819392350172,0.20481712282429906,-0.16063896856552995,-0.2725467400189707,0.03741284401587357,powerful
most powerful,5.281831804513548,0.38976707052149295,-0.9338695756629682,-0.1655420438853681,0.03591183381601014,most powerful
tropical,106.8432777694594,0.4614285847596651,-0.6912418273017066,0.19264355421696733,-0.8573320075376982,tropical
powerful tropical,5.798575082704194,0.4185215661931982,-1.0272088174124034,0.0627123715683651,-0.22191752570598186,powerful tropical
typhoon,56.690239659647474,0.4390259386807801,-2.7721652281993823,-0.5058819346770493,0.3924538332466627,typhoon
tropical typhoon,5.849580664145063,0.40976380083478886,-1.0359665827708124,-0.2676390509932123,0.10266431849512371,tropical typhoon
this,33.43106674610596,0.0591470428018017,-0.04638908785866636,-0.10012386465580515,0.04437978690374881,this
typhoon this,4.597449742872786,0.3553754750979979,-0.7950983514721748,-0.1392256482069288,0.030877798590249247,typhoon this
year,12.960937651103666,0.31889252761255793,-0.7039710906872906,-0.4299499946385919,0.24136100988901257,year
this year,8.956051224762923,0.2085913255622783,-0.3343604710810522,-0.30188155641937425,0.16895919518565655,this year
slam,3.9777504572215046,0.3136801359772102,-0.6503130531895804,-0.09009258045177924,0.006685388320892647,slam
year slam,3.9777504572215046,0.3136801359772102,-0.6503130531895804,-0.09009258045177924,0.006685388320892647,year slam
into,67.57811366108956,0.09836679768169798,0.02251316722779732,-0.08273168056016275,-0.10305075115962359,into
slam into,3.829023572449951,0.30126205581923815,-0.6122064342092683,-0.07976690441919039,0.00273049692351247,slam into
Taiwan,3.83124551011942,0.19805151308282964,-0.6127865542305974,0.09390875127854166,0.030106163512549175,Taiwan
into taiwan,3.134479425389735,0.22422546042127078,-0.4120597132283804,-0.02125797582420012,-0.020289130220385983,into taiwan
remote,6.281722072115821,0.04361309261224038,-0.1280807493566733,0.14222761214317606,-0.09852811992737058,remote
taiwan remote,3.5468239090695644,0.27419604303331857,-0.5356491349655869,-0.06144610729189824,-0.002543459461562624,taiwan remote
Orchid,3.4483467241509613,0.2634659025084845,-0.5074915112332496,-0.055372810502608935,-0.0036675469139064243,Orchid
remote orchid,3.4483467241509613,0.2634659025084845,-0.5074915112332496,-0.055372810502608935,-0.0036675469139064243,remote orchid
orchid island,3.199911442930801,0.23344797886154398,-0.4327197407776238,-0.02254977520433225,-0.022969266635479407,orchid island
President,4.388255338618039,0.08298745980406834,-0.7485283363636595,0.3000610574652954,0.05089452595675835,President
Trump,6.977384094127384,-0.04486865402972545,-0.5579532394641332,-0.0018073998376779371,0.39272541824820684,Trump
president trump,3.154415958480841,0.22641430948762095,-0.41839996812517494,-0.037862188790584915,-0.004723152771963896,president trump
and,256.57618860331695,0.029648108825687833,-0.03967399782864898,0.046040137790907834,-0.05242212696662865,and
trump and,3.1182035956493537,0.22123755225295666,-0.406853670815627,-0.03573901501083494,-0.004608761531719026,trump and
RFK,3.095900198346512,0.2179726235564482,-0.39967532497071095,-0.03443202585181048,-0.004511040045873494,RFK
and rfk,3.095900198346512,0.2179726235564482,-0.39967532497071095,-0.03443202585181048,-0.004511040045873494,and rfk
make,10.470463440163739,0.020452575047106156,0.07573412177219412,-0.14054867628890874,0.017858664108842928,make
announcement,3.987638587956242,0.31532775609702735,-0.6527958285463146,-0.06447165773071861,-0.018043048132306384,announcement
make announcement,3.031790076117893,0.20824590559789835,-0.37874983471332285,-0.030672990903211673,-0.004113433798729514,make announcement
autism,2.9665848384259665,0.1977982143715741,-0.357008010575536,-0.026836388414257898,-0.0035294460140540477,autism
announcement autism,2.9665848384259665,0.1977982143715741,-0.357008010575536,-0.026836388414257898,-0.0035294460140540477,announcement autism
Tylenol,3.8128641630549263,0.3005480372112952,-0.6079772609893027,-0.05804657872566173,-0.01750760881723693,Tylenol
autism tylenol,2.938336935296503,0.19308626042670252,-0.34744035847244287,-0.0251666689187494,-0.003219542009829407,autism tylenol
